MortgageID,Address,Zip,City,State,UnitCode,Cost,CustomerID,ClosingDate,InterestRate,APR,LoanTypeID,LoanConsultantID,OfficeLocationID
366,259 Central Way #66,7102,Newark,NJ,3,404000,333,1/2/2018,3.50%,3.60%,4,8,4
56,125 Deerborn Ave #56,19801,Wilmington,DE,1,87000,12,1/4/2018,4.00%,4.82%,2,2,1
499,776 Patty St #99,21201,Baltimore,MD,2,156000,253,1/5/2018,3.75%,4.28%,2,10,5
43,125 Deerborn Ave #43,19801,Wilmington,DE,4,217500,385,1/6/2018,3.75%,4.52%,1,2,1
8,125 Deerborn Ave #8,19801,Wilmington,DE,4,217500,376,1/8/2018,4.00%,4.73%,1,1,1
13,125 Deerborn Ave #13,19801,Wilmington,DE,2,130500,131,1/10/2018,3.75%,4.20%,4,2,1
49,125 Deerborn Ave #49,19801,Wilmington,DE,4,217500,386,1/15/2018,4.25%,4.80%,4,1,1
38,125 Deerborn Ave #38,19801,Wilmington,DE,3,174000,265,1/16/2018,4.25%,5.06%,1,2,1
220,448 Market Lane #20,8609,Trenton,NJ,2,207000,186,1/16/2018,3.50%,4.25%,1,6,3
231,448 Market Lane #31,8609,Trenton,NJ,1,138000,66,1/19/2018,3.75%,4.68%,3,6,3
334,259 Central Way #34,7102,Newark,NJ,3,404000,329,1/19/2018,3.50%,3.53%,1,8,4
108,786 Midtown Street #8,19102,Philadelphia,PA,1,156000,33,1/23/2018,4.25%,4.62%,2,4,2
313,259 Central Way #13,7102,Newark,NJ,3,404000,322,1/23/2018,4.00%,4.47%,1,8,4
371,259 Central Way #71,7102,Newark,NJ,3,404000,337,1/27/2018,3.50%,4.28%,3,8,4
367,259 Central Way #67,7102,Newark,NJ,3,404000,334,1/28/2018,4.00%,4.79%,1,7,4
384,259 Central Way #84,7102,Newark,NJ,4,505000,469,2/1/2018,3.75%,4.22%,3,8,4
460,776 Patty St #60,21201,Baltimore,MD,4,260000,490,2/3/2018,4.00%,4.57%,4,9,5
177,786 Midtown Street #77,19102,Philadelphia,PA,3,312000,293,2/4/2018,3.50%,3.59%,3,3,2
222,448 Market Lane #22,8609,Trenton,NJ,1,138000,63,2/6/2018,4.25%,4.81%,1,6,3
173,786 Midtown Street #73,19102,Philadelphia,PA,2,234000,170,2/7/2018,3.75%,4.03%,3,3,2
239,448 Market Lane #39,8609,Trenton,NJ,4,345000,429,2/7/2018,4.50%,5.14%,3,5,3
25,125 Deerborn Ave #25,19801,Wilmington,DE,3,174000,260,2/9/2018,3.50%,3.99%,1,1,1
246,448 Market Lane #46,8609,Trenton,NJ,2,207000,193,2/13/2018,4.00%,4.11%,1,5,3
316,259 Central Way #16,7102,Newark,NJ,4,505000,448,2/13/2018,3.50%,4.35%,3,7,4
470,776 Patty St #70,21201,Baltimore,MD,4,260000,493,2/13/2018,3.50%,4.24%,3,9,5
413,776 Patty St #13,21201,Baltimore,MD,3,208000,352,2/15/2018,4.25%,4.76%,3,10,5
78,125 Deerborn Ave #78,19801,Wilmington,DE,1,87000,21,2/16/2018,4.25%,4.39%,2,2,1
333,259 Central Way #33,7102,Newark,NJ,2,303000,221,2/16/2018,3.50%,3.69%,1,8,4
210,448 Market Lane #10,8609,Trenton,NJ,3,276000,303,2/17/2018,3.75%,4.09%,2,6,3
263,448 Market Lane #63,8609,Trenton,NJ,4,345000,436,2/21/2018,3.50%,3.71%,3,6,3
358,259 Central Way #58,7102,Newark,NJ,2,303000,228,2/23/2018,3.75%,4.24%,4,7,4
476,776 Patty St #76,21201,Baltimore,MD,3,208000,369,2/25/2018,4.00%,4.32%,1,9,5
436,776 Patty St #36,21201,Baltimore,MD,2,156000,241,2/28/2018,4.00%,4.61%,1,10,5
242,448 Market Lane #42,8609,Trenton,NJ,4,345000,431,3/2/2018,3.50%,3.86%,4,6,3
481,776 Patty St #81,21201,Baltimore,MD,4,260000,497,3/3/2018,3.75%,3.80%,2,10,5
120,786 Midtown Street #20,19102,Philadelphia,PA,4,390000,400,3/6/2018,3.50%,4.31%,3,4,2
31,125 Deerborn Ave #31,19801,Wilmington,DE,4,217500,381,3/8/2018,3.75%,4.12%,4,2,1
54,125 Deerborn Ave #54,19801,Wilmington,DE,3,174000,269,3/8/2018,4.25%,5.21%,4,2,1
126,786 Midtown Street #26,19102,Philadelphia,PA,2,234000,155,3/9/2018,3.50%,3.59%,1,3,2
359,259 Central Way #59,7102,Newark,NJ,4,505000,461,3/10/2018,4.25%,4.40%,1,7,4
464,776 Patty St #64,21201,Baltimore,MD,3,208000,365,3/14/2018,3.50%,3.81%,4,9,5
266,448 Market Lane #66,8609,Trenton,NJ,2,207000,202,3/15/2018,4.50%,5.41%,1,5,3
467,776 Patty St #67,21201,Baltimore,MD,3,208000,367,3/16/2018,4.00%,4.10%,4,10,5
26,125 Deerborn Ave #26,19801,Wilmington,DE,4,217500,379,3/17/2018,3.75%,4.66%,2,2,1
144,786 Midtown Street #44,19102,Philadelphia,PA,1,156000,42,3/20/2018,3.75%,4.55%,2,3,2
350,259 Central Way #50,7102,Newark,NJ,4,505000,458,3/20/2018,3.50%,4.08%,3,7,4
65,125 Deerborn Ave #65,19801,Wilmington,DE,4,217500,390,3/21/2018,4.00%,4.55%,2,1,1
64,125 Deerborn Ave #64,19801,Wilmington,DE,1,87000,16,3/22/2018,4.50%,5.27%,1,2,1
370,259 Central Way #70,7102,Newark,NJ,3,404000,336,3/22/2018,3.75%,4.27%,1,7,4
3,125 Deerborn Ave #3,19801,Wilmington,DE,1,87000,2,3/23/2018,4.50%,5.20%,3,2,1
314,259 Central Way #14,7102,Newark,NJ,4,505000,447,3/27/2018,4.50%,5.13%,2,8,4
337,259 Central Way #37,7102,Newark,NJ,1,202000,86,3/27/2018,3.50%,4.17%,2,7,4
87,125 Deerborn Ave #87,19801,Wilmington,DE,3,174000,275,3/30/2018,4.50%,4.70%,4,2,1
