MortgageID,Address,Zip,City,State,UnitCode,Cost,CustomerID,ClosingDate,InterestRate,APR,LoanTypeID,LoanConsultantID,OfficeLocationID
133,786 Midtown Street #33,19102,Philadelphia,PA,1,156000,40,10/1/2018,4.50%,4.88%,3,3,2
198,786 Midtown Street #98,19102,Philadelphia,PA,2,234000,178,10/7/2018,3.50%,3.80%,2,4,2
267,448 Market Lane #67,8609,Trenton,NJ,4,345000,437,10/7/2018,3.75%,4.49%,4,6,3
331,259 Central Way #31,7102,Newark,NJ,3,404000,327,10/8/2018,4.00%,4.16%,3,7,4
45,125 Deerborn Ave #45,19801,Wilmington,DE,3,174000,267,10/9/2018,4.25%,4.75%,2,2,1
474,776 Patty St #74,21201,Baltimore,MD,1,104000,117,10/10/2018,3.50%,3.82%,2,9,5
235,448 Market Lane #35,8609,Trenton,NJ,1,138000,68,10/14/2018,3.75%,4.73%,3,5,3
319,259 Central Way #19,7102,Newark,NJ,4,505000,450,10/14/2018,4.25%,5.24%,2,7,4
21,125 Deerborn Ave #21,19801,Wilmington,DE,3,174000,258,10/15/2018,3.75%,4.07%,4,1,1
95,125 Deerborn Ave #95,19801,Wilmington,DE,4,217500,396,10/18/2018,3.75%,4.34%,3,2,1
445,776 Patty St #45,21201,Baltimore,MD,1,104000,113,10/18/2018,4.25%,4.92%,4,10,5
99,125 Deerborn Ave #99,19801,Wilmington,DE,1,87000,30,10/19/2018,3.50%,4.06%,4,2,1
253,448 Market Lane #53,8609,Trenton,NJ,2,207000,197,10/19/2018,4.25%,4.40%,1,5,3
107,786 Midtown Street #7,19102,Philadelphia,PA,1,156000,32,10/20/2018,3.75%,4.70%,3,4,2
479,776 Patty St #79,21201,Baltimore,MD,1,104000,118,10/21/2018,4.25%,4.99%,2,10,5
28,125 Deerborn Ave #28,19801,Wilmington,DE,2,130500,137,10/22/2018,3.50%,4.15%,4,2,1
409,776 Patty St #9,21201,Baltimore,MD,2,156000,235,10/23/2018,4.25%,5.06%,4,9,5
158,786 Midtown Street #58,19102,Philadelphia,PA,2,234000,164,10/24/2018,4.00%,4.64%,2,4,2
206,448 Market Lane #6,8609,Trenton,NJ,3,276000,300,10/25/2018,4.25%,5.23%,1,6,3
209,448 Market Lane #9,8609,Trenton,NJ,2,207000,181,10/29/2018,4.00%,4.93%,1,5,3
89,125 Deerborn Ave #89,19801,Wilmington,DE,4,217500,395,10/31/2018,4.25%,4.53%,4,1,1
368,259 Central Way #68,7102,Newark,NJ,1,202000,96,10/31/2018,3.50%,4.22%,1,7,4
453,776 Patty St #53,21201,Baltimore,MD,4,260000,487,11/1/2018,4.00%,4.08%,2,9,5
468,776 Patty St #68,21201,Baltimore,MD,4,260000,492,11/1/2018,3.50%,4.39%,3,9,5
473,776 Patty St #73,21201,Baltimore,MD,4,260000,494,11/3/2018,4.00%,4.67%,4,9,5
103,786 Midtown Street #3,19102,Philadelphia,PA,2,234000,151,11/6/2018,4.00%,4.05%,4,4,2
137,786 Midtown Street #37,19102,Philadelphia,PA,4,390000,407,11/6/2018,3.75%,4.07%,2,4,2
260,448 Market Lane #60,8609,Trenton,NJ,3,276000,307,11/6/2018,3.75%,4.33%,1,6,3
93,125 Deerborn Ave #93,19801,Wilmington,DE,1,87000,28,11/7/2018,4.00%,4.64%,2,1,1
142,786 Midtown Street #42,19102,Philadelphia,PA,2,234000,160,11/9/2018,4.25%,4.86%,1,3,2
415,776 Patty St #15,21201,Baltimore,MD,4,260000,477,11/9/2018,4.25%,4.83%,2,10,5
265,448 Market Lane #65,8609,Trenton,NJ,1,138000,74,11/10/2018,4.00%,4.60%,3,5,3
40,125 Deerborn Ave #40,19801,Wilmington,DE,3,174000,266,11/13/2018,4.25%,4.91%,3,1,1
449,776 Patty St #49,21201,Baltimore,MD,2,156000,244,11/14/2018,4.00%,4.45%,1,10,5
136,786 Midtown Street #36,19102,Philadelphia,PA,3,312000,285,11/16/2018,4.00%,4.86%,4,4,2
46,125 Deerborn Ave #46,19801,Wilmington,DE,1,87000,10,11/20/2018,4.00%,4.40%,1,2,1
96,125 Deerborn Ave #96,19801,Wilmington,DE,2,130500,149,11/20/2018,3.50%,4.36%,1,2,1
289,448 Market Lane #89,8609,Trenton,NJ,1,138000,78,11/21/2018,4.25%,4.42%,1,5,3
119,786 Midtown Street #19,19102,Philadelphia,PA,1,156000,39,11/24/2018,4.00%,4.67%,4,3,2
155,786 Midtown Street #55,19102,Philadelphia,PA,3,312000,291,11/27/2018,4.00%,4.41%,1,3,2
495,776 Patty St #95,21201,Baltimore,MD,2,156000,252,11/28/2018,3.75%,3.85%,2,10,5
17,125 Deerborn Ave #17,19801,Wilmington,DE,1,87000,5,12/4/2018,3.50%,4.12%,3,2,1
221,448 Market Lane #21,8609,Trenton,NJ,2,207000,187,12/4/2018,4.00%,4.31%,2,5,3
245,448 Market Lane #45,8609,Trenton,NJ,2,207000,192,12/4/2018,4.00%,4.24%,1,6,3
297,448 Market Lane #97,8609,Trenton,NJ,4,345000,444,12/5/2018,3.75%,4.42%,4,5,3
338,259 Central Way #38,7102,Newark,NJ,4,505000,454,12/11/2018,4.00%,4.08%,4,8,4
174,786 Midtown Street #74,19102,Philadelphia,PA,1,156000,53,12/13/2018,4.25%,5.21%,3,4,2
208,448 Market Lane #8,8609,Trenton,NJ,3,276000,302,12/15/2018,4.00%,4.48%,2,5,3
493,776 Patty St #93,21201,Baltimore,MD,4,260000,499,12/17/2018,3.75%,4.46%,2,9,5
485,776 Patty St #85,21201,Baltimore,MD,1,104000,122,12/19/2018,4.00%,4.82%,3,9,5
429,776 Patty St #29,21201,Baltimore,MD,2,156000,239,12/20/2018,3.50%,4.47%,2,10,5
61,125 Deerborn Ave #61,19801,Wilmington,DE,4,217500,389,12/21/2018,3.50%,4.01%,4,2,1
80,125 Deerborn Ave #80,19801,Wilmington,DE,1,87000,23,12/22/2018,3.75%,4.65%,2,2,1
194,786 Midtown Street #94,19102,Philadelphia,PA,2,234000,176,12/22/2018,4.00%,4.73%,2,4,2
200,786 Midtown Street #100,19102,Philadelphia,PA,2,234000,179,12/24/2018,3.75%,4.43%,1,3,2
356,259 Central Way #56,7102,Newark,NJ,2,303000,227,12/26/2018,4.00%,4.81%,2,8,4
134,786 Midtown Street #34,19102,Philadelphia,PA,1,156000,41,12/30/2018,4.00%,4.19%,1,4,2
