MortgageID,Address,Zip,City,State,UnitCode,Cost,CustomerID,ClosingDate,InterestRate,APR,LoanTypeID,LoanConsultantID,OfficeLocationID
469,776 Patty St #69,21201,Baltimore,MD,2,156000,248,7/4/2018,4.00%,4.26%,4,9,5
75,125 Deerborn Ave #75,19801,Wilmington,DE,3,174000,274,7/6/2018,4.00%,4.84%,1,1,1
47,125 Deerborn Ave #47,19801,Wilmington,DE,3,174000,268,7/10/2018,3.50%,3.90%,4,1,1
293,448 Market Lane #93,8609,Trenton,NJ,3,276000,314,7/14/2018,3.50%,3.56%,4,5,3
186,786 Midtown Street #86,19102,Philadelphia,PA,2,234000,173,7/16/2018,4.25%,5.07%,3,3,2
424,776 Patty St #24,21201,Baltimore,MD,3,208000,356,7/18/2018,4.50%,5.05%,2,9,5
271,448 Market Lane #71,8609,Trenton,NJ,2,207000,204,7/24/2018,4.25%,4.68%,1,5,3
39,125 Deerborn Ave #39,19801,Wilmington,DE,1,87000,8,7/25/2018,4.00%,4.49%,1,2,1
403,776 Patty St #3,21201,Baltimore,MD,2,156000,234,7/28/2018,3.50%,4.33%,2,10,5
233,448 Market Lane #33,8609,Trenton,NJ,2,207000,188,8/1/2018,3.75%,4.18%,2,5,3
344,259 Central Way #44,7102,Newark,NJ,1,202000,89,8/1/2018,4.00%,4.05%,2,8,4
86,125 Deerborn Ave #86,19801,Wilmington,DE,4,217500,394,8/3/2018,3.50%,3.75%,3,2,1
269,448 Market Lane #69,8609,Trenton,NJ,1,138000,75,8/4/2018,4.25%,5.04%,3,6,3
6,125 Deerborn Ave #6,19801,Wilmington,DE,1,87000,4,8/7/2018,4.25%,4.58%,4,2,1
60,125 Deerborn Ave #60,19801,Wilmington,DE,2,130500,141,8/12/2018,3.75%,4.24%,4,2,1
22,125 Deerborn Ave #22,19801,Wilmington,DE,3,174000,259,8/15/2018,3.50%,4.37%,4,2,1
193,786 Midtown Street #93,19102,Philadelphia,PA,2,234000,175,8/18/2018,4.25%,4.36%,1,3,2
418,776 Patty St #18,21201,Baltimore,MD,1,104000,105,8/18/2018,3.75%,4.01%,2,9,5
175,786 Midtown Street #75,19102,Philadelphia,PA,4,390000,414,8/25/2018,4.00%,4.08%,4,3,2
463,776 Patty St #63,21201,Baltimore,MD,4,260000,491,8/29/2018,4.50%,4.51%,2,9,5
390,259 Central Way #90,7102,Newark,NJ,3,404000,345,8/31/2018,4.00%,4.88%,3,8,4
207,448 Market Lane #7,8609,Trenton,NJ,3,276000,301,9/5/2018,4.25%,4.85%,4,5,3
129,786 Midtown Street #29,19102,Philadelphia,PA,4,390000,404,9/9/2018,3.75%,3.80%,4,4,2
67,125 Deerborn Ave #67,19801,Wilmington,DE,4,217500,391,9/10/2018,4.00%,4.71%,4,2,1
456,776 Patty St #56,21201,Baltimore,MD,2,156000,246,9/12/2018,3.50%,4.12%,4,9,5
308,259 Central Way #8,7102,Newark,NJ,4,505000,445,9/16/2018,3.75%,4.27%,3,8,4
426,776 Patty St #26,21201,Baltimore,MD,2,156000,238,9/16/2018,3.75%,4.55%,4,9,5
161,786 Midtown Street #61,19102,Philadelphia,PA,1,156000,49,9/24/2018,4.00%,4.28%,4,4,2
125,786 Midtown Street #25,19102,Philadelphia,PA,3,312000,284,9/25/2018,4.50%,5.24%,4,3,2
213,448 Market Lane #13,8609,Trenton,NJ,2,207000,183,9/25/2018,4.25%,4.90%,4,5,3
82,125 Deerborn Ave #82,19801,Wilmington,DE,4,217500,393,9/28/2018,3.75%,4.40%,1,2,1
112,786 Midtown Street #12,19102,Philadelphia,PA,4,390000,399,9/28/2018,3.50%,3.95%,4,4,2
